段落,短语,全片秒,全片帧,阶段,ASR直接匹配
25,看二零一二年 Ale,691.5333333333333,20746,0.3935483870967742,True
25,我们的小实验适合拆开,702.0666666666667,21062,0.7677419354838709,True
26,现在收到第二份,716.0333333333333,21481,0,True
26,此刻该往哪边推,724.0333333333333,21721,0.1,True
26,杆往右倾,725.7666666666667,21773,0.2,False
26,往右追,727.4333333333333,21823,0.33,True
26,强化学习的原因,740.8,22224,1,True
27,先把任务,743.4,22302,0,True
27,四个数,748.6333333333333,22459,0.1,True
27,右边四个指针,754.6666666666666,22640,0.45,True
27,后面保持平衡,770.8333333333334,23125,1,True
28,一次互动是这样发生的,773.7,23211,0.0,True
28,环境先给出状态，程序,775.6,23268,0.07692307692307693,True
28,新的状态再进入下一次,781.9666666666667,23459,0.3006993006993007,True
28,这个循环和图片分类最,784.6333333333333,23539,0.3916083916083916,True
28,往右推之后，下一帧的,790.5333333333333,23716,0.6223776223776224,False
28,于是程序要为自己的行,794.4333333333333,23833,0.7622377622377622,True
29,怎样告诉它什么叫做得,801.9,24057,0.0,True
29,规则很直接：每持续一,804.2333333333333,24127,0.0821917808219178,True
29,杆倾斜过大，或者小车,807.4333333333333,24223,0.2191780821917808,False
29,看奖励随着实际步骤一,813.0666666666667,24392,0.410958904109589,True
29,我们没有直接奖励动作,818.3,24549,0.589041095890411,True
29,奖励定义了学习的方向,822.8666666666667,24686,0.7808219178082192,True
30,可只看刚拿到的一分，,830.0,24900,0.0,True
30,一个动作十步后就倒，,833.6,25008,0.13725490196078433,True
30,我们因此把后面的奖励,838.9666666666667,25169,0.3333333333333333,True
30,柱子越往后越短，表示,843.8,25314,0.5163398692810458,True
30,累计回报就把保持平衡,848.0333333333333,25441,0.6535947712418301,True
30,它不是知道真实未来，,852.3333333333334,25570,0.8169934640522876,True
31,这时请网络,858.2333333333333,25747,0,True
31,两个数,866.0,25980,0.13,True
31,伸缩,871.7333333333333,26152,0.4,False
31,第一天起,883.4666666666667,26504,0.98,True
32,所以训练时会保留探索,887.3333333333334,26620,0.0,True
32,有时按当前估计行动，,889.6333333333333,26689,0.07333333333333333,True
32,起初随机机会较多，随,893.3,26799,0.20666666666666667,True
32,它像学骑车时试着改变,899.5333333333333,26986,0.42,True
32,探索用来收集新经历，,906.0,27180,0.64,True
32,等到独立评估，我们关,910.3,27309,0.8,True
33,经历收集到了,917.0333333333333,27511,0,True
33,奖励,924.2666666666667,27728,0.18,True
33,下一状态两个,928.7666666666667,27863,0.43,True
33,加回来,932.5,27975,0.77,True
